Horodateur,Seconde ville,Troisième ville,Première ville,Environnement,Vie sociale,Accès à la culture,Sécurité,Facilité de transport,Accès à l'emploi,Vie de famille,Coût de la vie,Mer,Montagne,Toulouse,Marseille,Alès,Paris,Annecy,Bordeaux,Lyon,La Rochelle,Saint Chamas,Note max,Proche de la mer?,Proche de la montagne
24/01/2021 17:25:36,Toulouse,Toulouse,Alès,8,8,9,8,9,8,8,9,1,1,4,3,5,2,4,4,3,4,4,5,Je veux vivre près de la mer,Je veux vivre près des montagnes
,,,Alès,10,6,6,6,5,6,7,10,0,1,4,4,2,1,4,1,5,2,2,,,
,,,Alès,9,4,4,6,5,7,4,9,0,0,4,3,3,3,1,3,4,3,3,,,
,,,Alès,6,4,6,5,7,3,3,10,1,1,,,,,,,,,,,,
,,,Alès,8,4,4,5,6,6,5,10,0,1,,,,,,,,,,,,
,,,Alès,5,4,7,4,6,3,7,10,0,1,,,,,,,,,,,,
,,,Alès,8,4,6,6,7,5,6,9,0,1,,,,,,,,,,,,
,,,Alès,5,8,8,5,5,4,3,10,0,1,,,,,,,,,,,,
,,,Alès,5,6,8,7,7,7,4,9,0,1,,,,,,,,,,,,
,,,Alès,7,4,5,5,7,5,3,10,0,1,,,,,,,,,,,,
,,,Alès,8,6,7,6,7,7,7,9,1,0,,,,,,,,,,,,
,,,Alès,5,2,4,6,5,4,6,9,0,0,,,,,,,,,,,,
,,,Alès,7,3,4,7,7,7,3,9,0,1,,,,,,,,,,,,
,,,Alès,7,2,6,7,5,5,7,9,0,1,,,,,,,,,,,,
,,,Alès,7,6,5,4,7,5,6,9,1,0,,,,,,,,,,,,
,,,Alès,8,7,8,7,6,4,6,10,1,1,,,,,,,,,,,,
,,,Alès,8,3,6,5,6,7,6,9,0,1,,,,,,,,,,,,
,,,Alès,5,7,7,5,5,7,6,10,0,0,,,,,,,,,,,,
,,,Alès,7,6,8,7,6,7,6,9,0,0,,,,,,,,,,,,
,,,Alès,6,5,7,4,7,6,7,9,0,0,,,,,,,,,,,,
,,,Alès,8,8,6,5,6,3,7,9,0,0,,,,,,,,,,,,
,,,Alès,6,5,5,6,5,4,5,9,0,0,,,,,,,,,,,,
,,,Alès,6,8,7,4,7,7,7,9,0,0,,,,,,,,,,,,
,,,Alès,8,2,8,5,7,4,3,9,0,0,,,,,,,,,,,,
,,,Alès,8,6,8,4,6,3,6,10,0,0,,,,,,,,,,,,
,,,Alès,7,3,7,4,7,7,7,9,0,0,,,,,,,,,,,,
,,,Alès,5,4,7,7,5,4,6,10,0,0,,,,,,,,,,,,
,,,Alès,6,3,7,5,6,4,7,9,0,0,,,,,,,,,,,,
,,,Alès,7,2,7,6,7,3,6,10,0,0,,,,,,,,,,,,
,,,Alès,8,2,6,7,7,5,7,10,0,0,,,,,,,,,,,,
,,,Alès,5,4,6,4,7,5,7,9,0,0,,,,,,,,,,,,
,,,Alès,8,4,5,6,7,5,7,10,0,0,,,,,,,,,,,,
,,,Alès,8,5,6,6,7,3,7,10,0,0,,,,,,,,,,,,
,,,Alès,7,2,8,6,6,5,5,9,0,0,,,,,,,,,,,,
,,,Alès,8,5,5,5,7,7,3,9,0,0,,,,,,,,,,,,
,,,Alès,7,2,4,5,6,4,4,10,0,0,,,,,,,,,,,,
,,,Alès,8,4,5,6,5,3,3,10,0,0,,,,,,,,,,,,
,,,Alès,7,2,5,7,5,3,7,9,0,0,,,,,,,,,,,,
,,,Alès,5,6,7,6,5,6,4,10,0,0,,,,,,,,,,,,
,,,Alès,7,3,6,5,5,6,6,9,0,0,,,,,,,,,,,,
,,,Alès,6,4,8,5,7,6,5,9,0,0,,,,,,,,,,,,
,,,Alès,7,7,8,5,5,5,3,10,0,0,,,,,,,,,,,,
,,,Alès,6,4,4,7,5,4,4,9,0,0,,,,,,,,,,,,
,,,Alès,6,6,4,6,6,4,5,10,0,0,,,,,,,,,,,,
,,,Alès,7,5,4,4,6,3,3,9,0,0,,,,,,,,,,,,
,,,Alès,7,7,6,4,7,7,6,10,0,0,,,,,,,,,,,,
,,,Alès,6,7,4,7,7,3,3,10,0,0,,,,,,,,,,,,
,,,Alès,6,5,4,4,7,7,4,9,0,0,,,,,,,,,,,,
,,,Alès,8,5,4,4,5,6,5,10,0,0,,,,,,,,,,,,
,,,Alès,8,2,5,4,5,7,5,10,0,0,,,,,,,,,,,,
,,,Alès,7,4,4,6,5,3,5,9,0,0,,,,,,,,,,,,
,,,Alès,5,3,8,7,7,6,7,10,0,1,,,,,,,,,,,,
,,,Alès,8,8,5,4,6,5,7,9,0,1,,,,,,,,,,,,
,,,Alès,6,2,5,5,6,7,7,9,0,1,,,,,,,,,,,,
,,,Alès,5,3,8,4,5,7,6,9,0,1,,,,,,,,,,,,
,,,Alès,7,4,7,7,7,4,6,10,0,1,,,,,,,,,,,,
,,,Alès,6,5,4,5,5,4,4,10,0,1,,,,,,,,,,,,
,,,Alès,6,6,7,4,6,6,5,9,0,1,,,,,,,,,,,,
,,,Alès,5,2,8,4,6,5,3,10,0,1,,,,,,,,,,,,
,,,Alès,7,6,8,4,6,4,7,10,0,1,,,,,,,,,,,,
,,,Alès,6,8,4,4,5,6,5,10,0,1,,,,,,,,,,,,
,,,Alès,5,8,4,4,5,7,3,9,0,1,,,,,,,,,,,,
,,,Alès,7,3,8,5,5,6,5,9,0,1,,,,,,,,,,,,
,,,Alès,6,3,5,4,5,5,5,9,0,1,,,,,,,,,,,,
,,,Alès,6,2,4,6,5,6,4,10,0,1,,,,,,,,,,,,
,,,Alès,7,5,4,7,7,5,3,9,0,1,,,,,,,,,,,,
,,,Alès,6,6,4,7,5,6,5,10,0,1,,,,,,,,,,,,
,,,Alès,5,3,4,6,6,3,7,10,0,1,,,,,,,,,,,,
,,,Alès,8,8,5,7,5,4,3,10,0,1,,,,,,,,,,,,
,,,Alès,7,4,6,4,7,6,3,10,0,1,,,,,,,,,,,,
,,,Alès,8,2,5,7,6,5,4,10,0,1,,,,,,,,,,,,
,,,Alès,7,5,8,5,6,6,3,9,0,1,,,,,,,,,,,,
,,,Alès,6,2,8,4,7,4,4,10,0,1,,,,,,,,,,,,
,,,Alès,8,3,4,5,6,6,3,10,0,1,,,,,,,,,,,,
,,,Alès,6,8,6,7,7,4,3,9,0,1,,,,,,,,,,,,
,,,Alès,6,3,6,6,6,3,4,9,0,1,,,,,,,,,,,,
,,,Alès,7,8,7,4,7,5,3,10,0,1,,,,,,,,,,,,
,,,Alès,5,5,6,4,6,6,7,10,0,1,,,,,,,,,,,,
,,,Alès,6,2,5,5,5,6,4,9,0,1,,,,,,,,,,,,
,,,Alès,7,6,7,6,5,4,5,10,0,1,,,,,,,,,,,,
,,,Alès,6,4,5,5,5,5,4,9,0,1,,,,,,,,,,,,
,,,Alès,8,7,4,7,5,4,6,10,0,1,,,,,,,,,,,,
,,,Alès,8,3,5,7,6,4,6,9,0,1,,,,,,,,,,,,
,,,Alès,7,4,8,7,5,4,4,9,0,1,,,,,,,,,,,,
,,,Alès,7,8,5,4,6,7,7,9,0,1,,,,,,,,,,,,
,,,Alès,7,2,5,5,7,5,4,10,0,1,,,,,,,,,,,,
,,,Alès,5,5,4,5,5,4,3,9,0,1,,,,,,,,,,,,
,,,Alès,6,6,4,5,6,3,3,10,0,1,,,,,,,,,,,,
,,,Alès,5,4,8,6,7,6,5,10,0,1,,,,,,,,,,,,
,,,Alès,7,2,4,4,7,7,3,10,0,1,,,,,,,,,,,,
,,,Alès,8,6,5,4,6,3,7,9,0,1,,,,,,,,,,,,
,,,Alès,7,7,7,4,7,3,4,10,0,1,,,,,,,,,,,,
,,,Alès,7,7,4,5,5,5,6,9,0,1,,,,,,,,,,,,
,,,Alès,6,7,6,4,5,7,7,9,0,1,,,,,,,,,,,,
,,,Alès,7,6,4,7,6,3,3,10,0,1,,,,,,,,,,,,
,,,Alès,7,8,6,6,5,6,7,9,0,1,,,,,,,,,,,,
,,,Alès,8,7,5,7,6,3,6,9,0,1,,,,,,,,,,,,
,,,Alès,8,3,6,5,5,7,7,9,0,1,,,,,,,,,,,,
,,,Alès,5,2,6,7,7,5,3,9,0,1,,,,,,,,,,,,
,,,Alès,5,7,4,7,5,6,4,10,0,1,,,,,,,,,,,,
,,,Alès,5,4,7,6,6,6,5,9,0,1,,,,,,,,,,,,
,,,Alès,5,8,4,6,5,3,5,10,0,1,,,,,,,,,,,,
,,,Alès,6,5,6,4,6,7,4,10,0,1,,,,,,,,,,,,
,,,Alès,7,5,8,4,7,3,5,9,0,1,,,,,,,,,,,,
,,,Alès,7,6,8,4,5,3,3,10,0,1,,,,,,,,,,,,
,,,Alès,5,7,6,6,7,4,3,9,0,1,,,,,,,,,,,,
,,,Alès,5,6,6,5,7,7,6,10,0,1,,,,,,,,,,,,
,,,Alès,7,8,6,6,7,6,3,10,0,1,,,,,,,,,,,,
,,,Alès,7,2,7,7,7,7,5,9,0,1,,,,,,,,,,,,
,,,Alès,6,4,5,4,6,7,3,10,0,1,,,,,,,,,,,,
,,,Alès,7,6,7,4,6,6,3,10,0,1,,,,,,,,,,,,
,,,Alès,6,4,6,4,5,5,5,9,0,1,,,,,,,,,,,,
,,,Alès,5,3,6,5,7,3,5,10,0,1,,,,,,,,,,,,
,,,Alès,7,4,7,7,5,6,4,9,0,1,,,,,,,,,,,,
,,,Alès,5,2,6,6,7,3,7,10,0,1,,,,,,,,,,,,
,,,Alès,7,6,4,4,6,4,4,9,0,1,,,,,,,,,,,,
,,,Alès,6,4,6,6,7,6,5,10,0,1,,,,,,,,,,,,
,,,Alès,5,2,8,5,7,3,3,9,0,1,,,,,,,,,,,,
,,,Alès,5,7,6,5,6,7,6,10,0,1,,,,,,,,,,,,
,,,Alès,8,3,7,4,5,7,6,9,0,1,,,,,,,,,,,,
,,,Alès,8,5,7,7,7,7,6,10,0,1,,,,,,,,,,,,
,,,Alès,6,6,8,4,6,3,4,10,0,1,,,,,,,,,,,,
,,,Alès,5,3,6,7,5,7,7,9,0,1,,,,,,,,,,,,
,,,Alès,6,4,6,7,6,3,7,9,0,1,,,,,,,,,,,,
,,,Alès,8,6,8,6,6,6,6,10,0,1,,,,,,,,,,,,
,,,Alès,5,6,5,5,6,6,3,9,0,1,,,,,,,,,,,,
,,,Alès,8,4,4,4,7,7,5,9,0,1,,,,,,,,,,,,
,,,Alès,8,3,5,6,7,5,7,9,0,1,,,,,,,,,,,,
,,,Alès,8,5,8,7,7,5,3,9,0,1,,,,,,,,,,,,
,,,Alès,5,7,6,4,7,6,6,9,0,1,,,,,,,,,,,,
,,,Alès,8,4,8,6,6,7,7,9,0,1,,,,,,,,,,,,
,,,Alès,6,3,5,5,7,7,6,10,0,1,,,,,,,,,,,,
,,,Alès,5,3,4,6,6,5,6,10,0,1,,,,,,,,,,,,
,,,Alès,5,2,7,5,7,7,4,9,0,1,,,,,,,,,,,,
,,,Alès,8,2,5,7,5,6,3,9,0,1,,,,,,,,,,,,
,,,Alès,7,8,6,6,6,3,4,10,0,1,,,,,,,,,,,,
,,,Alès,5,4,5,4,5,5,3,9,0,1,,,,,,,,,,,,
,,,Alès,5,7,7,6,5,5,7,10,0,1,,,,,,,,,,,,
,,,Alès,8,2,5,7,6,7,4,10,0,1,,,,,,,,,,,,
,,,Alès,5,4,4,4,5,3,3,9,0,1,,,,,,,,,,,,
,,,Alès,6,8,4,5,6,7,4,9,0,1,,,,,,,,,,,,
,,,Alès,6,5,5,4,5,7,6,9,0,1,,,,,,,,,,,,
,,,Alès,6,7,4,6,5,5,3,10,0,1,,,,,,,,,,,,
,,,Alès,7,3,8,5,5,7,4,10,0,1,,,,,,,,,,,,
,,,Alès,6,4,6,6,6,4,5,10,0,1,,,,,,,,,,,,
,,,Alès,5,4,6,5,7,5,6,9,0,1,,,,,,,,,,,,
,,,Alès,8,7,5,4,6,7,4,9,0,1,,,,,,,,,,,,
,,,Alès,7,6,5,4,5,3,3,9,0,1,,,,,,,,,,,,
,,,Alès,5,8,5,6,5,5,7,9,0,1,,,,,,,,,,,,
,,,Alès,6,7,4,6,5,6,7,10,0,1,,,,,,,,,,,,
,,,Alès,5,5,4,6,6,3,5,10,0,1,,,,,,,,,,,,
,,,Alès,6,2,8,5,6,5,7,10,0,1,,,,,,,,,,,,
,,,Alès,5,8,8,7,6,4,3,9,0,1,,,,,,,,,,,,
,,,Alès,8,6,4,7,5,3,3,10,0,1,,,,,,,,,,,,
,,,Alès,8,2,8,5,5,7,7,10,0,1,,,,,,,,,,,,
,,,Alès,6,3,8,5,6,4,5,9,0,1,,,,,,,,,,,,
,,,Alès,7,5,5,5,5,7,6,9,0,1,,,,,,,,,,,,
,,,Alès,5,5,4,4,7,5,5,10,0,1,,,,,,,,,,,,
,,,Alès,7,5,8,4,7,6,6,9,0,1,,,,,,,,,,,,
,,,Alès,8,5,4,4,6,7,4,10,0,1,,,,,,,,,,,,
,,,Alès,7,5,5,5,7,4,4,9,0,1,,,,,,,,,,,,
,,,Alès,6,7,6,7,7,7,4,9,0,1,,,,,,,,,,,,
,,,Alès,7,4,7,5,5,5,7,9,0,1,,,,,,,,,,,,
,,,Alès,6,7,4,6,7,7,4,9,0,1,,,,,,,,,,,,
,,,Alès,8,3,6,6,5,3,7,9,0,1,,,,,,,,,,,,
,,,Alès,5,7,4,5,6,6,7,9,0,1,,,,,,,,,,,,
,,,Alès,8,2,6,6,7,5,4,10,0,1,,,,,,,,,,,,
,,,Alès,5,7,6,4,6,6,3,9,0,1,,,,,,,,,,,,
,,,Alès,6,6,5,5,6,6,6,10,0,1,,,,,,,,,,,,
,,,Alès,6,8,4,5,7,6,7,10,0,1,,,,,,,,,,,,
,,,Alès,8,4,6,6,5,5,6,9,0,1,,,,,,,,,,,,
,,,Alès,5,5,5,6,6,4,3,9,0,1,,,,,,,,,,,,
,,,Alès,6,4,6,6,7,7,7,9,0,1,,,,,,,,,,,,
,,,Alès,5,7,5,5,6,5,5,9,0,1,,,,,,,,,,,,
,,,Alès,5,5,8,6,6,7,6,10,0,1,,,,,,,,,,,,
,,,Alès,7,4,5,5,5,7,4,9,0,1,,,,,,,,,,,,
,,,Alès,8,8,6,5,7,5,3,10,0,1,,,,,,,,,,,,
,,,Alès,6,8,4,5,5,6,3,10,0,1,,,,,,,,,,,,
,,,Alès,6,7,5,4,6,5,6,9,0,1,,,,,,,,,,,,
,,,Alès,6,3,8,6,7,5,6,9,0,1,,,,,,,,,,,,
,,,Alès,6,8,4,6,5,3,4,9,0,1,,,,,,,,,,,,
,,,Alès,7,6,4,5,5,5,6,9,0,1,,,,,,,,,,,,
,,,Alès,5,2,5,6,6,6,7,9,0,1,,,,,,,,,,,,
,,,Alès,5,6,7,5,6,4,4,10,0,1,,,,,,,,,,,,
,,,Alès,8,3,8,7,7,5,4,9,0,1,,,,,,,,,,,,
,,,Alès,6,6,5,4,5,4,3,10,0,1,,,,,,,,,,,,
,,,Alès,8,7,8,6,7,6,5,9,0,1,,,,,,,,,,,,
,,,Alès,8,6,6,7,5,7,4,10,0,1,,,,,,,,,,,,
,,,Alès,8,7,7,4,7,3,6,10,0,1,,,,,,,,,,,,
,,,Alès,5,8,7,4,5,7,5,10,0,0,,,,,,,,,,,,
,,,Alès,8,3,5,7,6,7,7,10,0,0,,,,,,,,,,,,
,,,Alès,5,6,8,4,5,6,6,9,0,0,,,,,,,,,,,,
,,,Alès,7,5,7,7,7,7,7,9,0,0,,,,,,,,,,,,
,,,Alès,8,6,6,4,5,6,7,9,0,0,,,,,,,,,,,,
,,,Alès,5,7,5,7,7,5,5,10,0,0,,,,,,,,,,,,
,,,Alès,8,3,7,5,7,7,4,9,0,0,,,,,,,,,,,,
,,,Alès,5,7,5,4,6,3,7,9,0,0,,,,,,,,,,,,
